OrderDate,GWP,VS
29/10/2016,3117.213115,23558.15469
30/10/2016,3117.213115,23558.15469
31/10/2016,3117.213115,23558.15469
1/11/2016,23758.78689,45504.91523
2/11/2016,23758.78689,45504.91523
3/11/2016,23758.78689,45504.91523
4/11/2016,23758.78689,45504.91523
5/11/2016,23758.78689,45504.91523
6/11/2016,23758.78689,45504.91523
7/11/2016,23758.78689,45504.91523
8/11/2016,23758.78689,45504.91523
9/11/2016,23758.78689,45504.91523
10/11/2016,23758.78689,45504.91523
11/11/2016,23758.78689,45504.91523
12/11/2016,23758.78689,45504.91523
13/11/2016,23758.78689,45504.91523
14/11/2016,23758.78689,45504.91523
15/11/2016,23758.78689,45504.91523
16/11/2016,23758.78689,45504.91523
17/11/2016,23758.78689,45504.91523
18/11/2016,23758.78689,45504.91523
19/11/2016,23758.78689,45504.91523
20/11/2016,23758.78689,45504.91523
21/11/2016,23758.78689,45504.91523
22/11/2016,23758.78689,45504.91523
23/11/2016,23758.78689,45504.91523
24/11/2016,23758.78689,45504.91523
25/11/2016,23758.78689,45504.91523
26/11/2016,23758.78689,45504.91523
27/11/2016,23758.78689,45504.91523
28/11/2016,23758.78689,45504.91523
29/11/2016,23758.78689,45504.91523
30/11/2016,23758.78689,45504.91523
1/12/2016,48833.33333,29235.44989
2/12/2016,48833.33333,29235.44989
3/12/2016,48833.33333,29235.44989
4/12/2016,48833.33333,29235.44989
5/12/2016,48833.33333,29235.44989
6/12/2016,48833.33333,29235.44989
7/12/2016,48833.33333,29235.44989
8/12/2016,48833.33333,29235.44989
9/12/2016,48833.33333,29235.44989
10/12/2016,48833.33333,29235.44989
11/12/2016,48833.33333,29235.44989
12/12/2016,48833.33333,29235.44989
13/12/2016,48833.33333,29235.44989
14/12/2016,48833.33333,29235.44989
15/12/2016,48833.33333,29235.44989
16/12/2016,48833.33333,29235.44989
17/12/2016,48833.33333,29235.44989
18/12/2016,48833.33333,29235.44989
19/12/2016,48833.33333,29235.44989
20/12/2016,48833.33333,29235.44989
21/12/2016,48833.33333,29235.44989
22/12/2016,48833.33333,29235.44989
23/12/2016,48833.33333,29235.44989
24/12/2016,48833.33333,29235.44989
25/12/2016,48833.33333,29235.44989
26/12/2016,48833.33333,29235.44989
27/12/2016,48833.33333,29235.44989
28/12/2016,48833.33333,29235.44989
29/12/2016,48833.33333,29235.44989
30/12/2016,48833.33333,29235.44989
31/12/2016,48833.33333,29235.44989
1/1/2017,44715.80952,13838.88889
2/1/2017,44715.80952,13838.88889
3/1/2017,44715.80952,13838.88889
4/1/2017,44715.80952,13838.88889
5/1/2017,44715.80952,13838.88889
6/1/2017,44715.80952,13838.88889
7/1/2017,44715.80952,13838.88889
8/1/2017,44715.80952,13838.88889
9/1/2017,44715.80952,13838.88889
10/1/2017,44715.80952,13838.88889
11/1/2017,44715.80952,13838.88889
12/1/2017,44715.80952,13838.88889
13/1/2017,44715.80952,13838.88889
14/1/2017,44715.80952,13838.88889
15/1/2017,44715.80952,13838.88889
16/1/2017,44715.80952,13838.88889
17/1/2017,44715.80952,13838.88889
18/1/2017,44715.80952,13838.88889
19/1/2017,44715.80952,13838.88889
20/1/2017,44715.80952,13838.88889
21/1/2017,44715.80952,13838.88889
22/1/2017,44715.80952,13838.88889
23/1/2017,44715.80952,13838.88889
24/1/2017,44715.80952,13838.88889
25/1/2017,44715.80952,13838.88889
26/1/2017,44715.80952,13838.88889
27/1/2017,44715.80952,13838.88889
28/1/2017,44715.80952,13838.88889
29/1/2017,44715.80952,13838.88889
30/1/2017,44715.80952,13838.88889
31/1/2017,44715.80952,13838.88889
1/2/2017,17754.85714,4453.333333
2/2/2017,17754.85714,4453.333333
3/2/2017,17754.85714,4453.333333
4/2/2017,17754.85714,4453.333333
5/2/2017,17754.85714,4453.333333
6/2/2017,17754.85714,4453.333333
7/2/2017,17754.85714,4453.333333
8/2/2017,17754.85714,4453.333333
9/2/2017,17754.85714,4453.333333
10/2/2017,17754.85714,4453.333333
11/2/2017,17754.85714,4453.333333
12/2/2017,17754.85714,4453.333333
13/2/2017,17754.85714,4453.333333
14/2/2017,17754.85714,4453.333333
15/2/2017,17754.85714,4453.333333
16/2/2017,17754.85714,4453.333333
17/2/2017,17754.85714,4453.333333
18/2/2017,17754.85714,4453.333333
